Date,Nitrate_loading (kg/d),TP_loading (kg/d)
1/1/2003,806.89648,353.41341
1/2/2003,930.20016,371.39187
1/3/2003,845.53151,350.88869
1/4/2003,879.73307,379.71567
1/5/2003,814.73569,366.01395
1/6/2003,852.52922,398.92505
1/7/2003,733.71277,357.89992
1/8/2003,792.29805,368.50009
1/9/2003,829.95304,369.19694
1/10/2003,849.06148,383.18387
1/11/2003,941.07935,430.84312
1/12/2003,866.47308,402.37887
1/13/2003,840.68172,395.96989
1/14/2003,809.83472,386.84915
1/15/2003,815.50905,404.99405
1/16/2003,784.63032,405.41037
1/17/2003,821.80653,411.91454
1/18/2003,841.27815,409.65069
1/19/2003,870.26008,412.23007
1/20/2003,912.44931,420.97114
1/21/2003,914.06977,411.21921
1/22/2003,993.27663,418.16939
1/23/2003,1067.07301,422.60317
1/24/2003,1102.32517,447.04448
1/25/2003,1014.66325,421.68927
1/26/2003,1055.36671,449.83163
1/27/2003,1022.40002,447.31217
1/28/2003,1004.44492,451.49126
1/29/2003,866.22673,434.14327
1/30/2003,758.65067,430.04907
1/31/2003,1014.43295,545.27901
2/1/2003,962.0029,492.03408
2/2/2003,973.45702,475.22189
2/3/2003,1069.77504,499.83851
2/4/2003,1012.66531,453.98098
2/5/2003,1019.34032,484.89188
2/6/2003,954.28596,483.00469
2/7/2003,1009.96737,465.01566
2/8/2003,1163.05602,491.88959
2/9/2003,1245.89532,487.91204
2/10/2003,1285.71102,469.37959
2/11/2003,1391.77412,476.39071
2/12/2003,1478.77799,506.67691
2/13/2003,1426.94815,489.39862
2/14/2003,2480.47091,861.70911
2/15/2003,1843.42502,649.02293
2/16/2003,1432.74513,511.52094
2/17/2003,1386.19594,502.16714
2/18/2003,1381.9737,508.32443
2/19/2003,1795.88935,582.42264
2/20/2003,1888.74546,545.94394
2/21/2003,1751.91803,523.73516
2/22/2003,1717.06198,530.56307
2/23/2003,1547.60431,493.97946
2/24/2003,1618.62239,533.3978
2/25/2003,1588.9637,540.31644
2/26/2003,1688.64869,522.4333
2/27/2003,2024.92937,576.79806
2/28/2003,2049.27259,564.54642
3/1/2003,2143.49523,571.6684
3/2/2003,2123.59684,548.8135
3/3/2003,2318.26533,581.07493
3/4/2003,2455.85287,597.51778
3/5/2003,1821.28945,534.44127
3/6/2003,1455.21002,538.19672
3/7/2003,1435.30255,510.34059
3/8/2003,1542.2578,526.55702
3/9/2003,1460.51793,478.18656
3/10/2003,1456.68179,456.7122
3/11/2003,1539.17799,461.41249
3/12/2003,1879.81095,743.6174
3/13/2003,810.27269,491.70394
3/14/2003,898.54338,488.70292
3/15/2003,953.72572,469.7829
3/16/2003,1073.4163,482.99236
3/17/2003,1019.73275,422.16271
3/18/2003,1238.18452,474.51845
3/19/2003,1481.20557,686.23508
3/20/2003,989.15375,579.90588
3/21/2003,968.71708,559.71737
3/22/2003,1019.1819,581.56357
3/23/2003,994.38897,561.2973
3/24/2003,1040.20796,581.60986
3/25/2003,1084.02824,601.04713
3/26/2003,1252.64933,676.52026
3/27/2003,1257.08924,663.39462
3/28/2003,1691.07589,876.80573
3/29/2003,1333.53711,679.25765
3/30/2003,1214.5064,607.67514
3/31/2003,1378.15952,677.27458
4/1/2003,1249.5487,603.06172
4/2/2003,1455.22327,652.82802
4/3/2003,1416.37172,592.57603
4/4/2003,1821.97234,781.16856
4/5/2003,1315.62,578.79446
4/6/2003,1399.3292,632.56927
4/7/2003,1689.66969,786.0362
4/8/2003,1262.61745,605.46016
4/9/2003,1575.51793,570.8908
4/10/2003,1908.58858,552.74708
4/11/2003,1956.83287,590.27823
4/12/2003,1900.32579,596.59716
4/13/2003,1825.944,596.17666
4/14/2003,1987.39022,674.38929
4/15/2003,1745.33142,615.1354
4/16/2003,1642.45192,715.3206
4/17/2003,1215.48909,681.98249
4/18/2003,1148.0081,684.22908
4/19/2003,1201.40374,762.40364
4/20/2003,1232.6311,835.00542
4/21/2003,1012.08357,733.98754
4/22/2003,899.54969,700.69453
4/23/2003,1078.8691,701.66143
4/24/2003,1701.56072,952.874
4/25/2003,1821.14258,903.50404
4/26/2003,1637.3685,728.23674
4/27/2003,1630.65469,656.45304
4/28/2003,1940.58438,712.76631
4/29/2003,1965.26374,663.00656
4/30/2003,1970.44786,708.82505
5/1/2003,1890.68359,729.07867
5/2/2003,1473.2681,646.52359
5/3/2003,1357.81264,692.68525
5/4/2003,1881.22688,1148.80001
5/5/2003,1225.11009,934.69884
5/6/2003,778.84886,795.10093
5/7/2003,953.94755,701.94393
5/8/2003,1672.38657,959.21532
5/9/2003,1492.17047,818.94998
5/10/2003,3269.80309,1717.0809
5/11/2003,2205.12851,1107.8608
5/12/2003,1890.0481,908.32049
5/13/2003,1607.40622,738.78863
5/14/2003,1619.23563,741.58605
5/15/2003,1575.89647,719.05226
5/16/2003,1359.18023,616.0824
5/17/2003,1381.62279,622.23856
5/18/2003,1419.49468,635.30239
5/19/2003,1671.92664,743.72761
5/20/2003,1625.89416,718.96352
5/21/2003,1409.47849,659.97217
5/22/2003,1272.42772,632.31867
5/23/2003,1346.78831,633.2495
5/24/2003,1422.40566,634.91016
5/25/2003,1538.63289,653.91898
5/26/2003,1618.21735,656.57179
5/27/2003,1517.55573,589.23843
5/28/2003,1976.11462,798.44631
5/29/2003,1531.12642,644.61709
5/30/2003,1490.33484,655.63815
5/31/2003,1448.31679,665.50606
6/1/2003,1422.70092,682.57269
6/2/2003,1789.54879,896.15629
6/3/2003,1434.23128,749.44694
6/4/2003,1320.0936,712.95531
6/5/2003,1264.93639,705.76358
6/6/2003,1729.84606,948.75121
6/7/2003,1335.23524,719.80004
6/8/2003,1318.75205,698.68232
6/9/2003,1405.12224,731.55163
6/10/2003,1766.76441,903.80325
6/11/2003,1714.83029,981.16383
6/12/2003,1332.60362,867.85218
6/13/2003,1767.46304,1095.31682
6/14/2003,1440.447,854.13045
6/15/2003,1465.14445,835.1112
6/16/2003,1579.29841,868.67129
6/17/2003,1682.87215,896.2181
6/18/2003,1311.26735,935.92094
6/19/2003,974.66093,1023.6165
6/20/2003,990.91556,889.71552
6/21/2003,1140.37755,902.24469
6/22/2003,1354.15502,964.56378
6/23/2003,1514.0247,986.55139
6/24/2003,1481.12494,893.80912
6/25/2003,2066.18088,1372.36081
6/26/2003,1532.47781,1124.24633
6/27/2003,1242.26731,1020.9417
6/28/2003,1088.84623,1019.32547
6/29/2003,1034.19544,1127.41688
6/30/2003,822.90831,1077.01218
7/1/2003,775.09185,1273.97912
7/2/2003,693.04498,1136.81984
7/3/2003,564.12262,923.44825
7/4/2003,886.30378,976.89692
7/5/2003,1120.78268,927.44319
7/6/2003,1372.92884,906.45832
7/7/2003,1815.6579,994.4368
7/8/2003,2841.783,1326.56341
7/9/2003,2866.94651,1838.00438
7/10/2003,1486.72356,1536.60921
7/11/2003,1020.54532,1093.03779
7/12/2003,863.77696,960.56711
7/13/2003,792.85276,917.44621
7/14/2003,784.26056,946.55848
7/15/2003,743.77553,938.81319
7/16/2003,811.90534,851.7175
7/17/2003,921.89875,825.21181
7/18/2003,1730.27397,1606.10604
7/19/2003,881.90211,851.76592
7/20/2003,831.25181,838.62081
7/21/2003,969.93742,1026.79949
7/22/2003,758.34178,846.92784
7/23/2003,778.87839,761.98789
7/24/2003,856.46643,740.56285
7/25/2003,863.93686,772.16697
7/26/2003,822.32687,759.13072
7/27/2003,775.29709,738.6981
7/28/2003,896.6805,881.17947
7/29/2003,738.00808,747.53671
7/30/2003,836.75958,844.3788
7/31/2003,778.01759,782.30419
8/1/2003,972.00123,809.01177
8/2/2003,1648.78257,1144.88741
8/3/2003,1461.8943,904.34454
8/4/2003,1388.88086,771.74113
8/5/2003,1436.52903,721.88601
8/6/2003,1693.68177,1029.24389
8/7/2003,1078.47959,821.82538
8/8/2003,968.33536,744.08801
8/9/2003,933.4472,723.32258
8/10/2003,872.07034,756.46574
8/11/2003,897.98738,863.05682
8/12/2003,837.72789,884.56401
8/13/2003,788.89724,866.05373
8/14/2003,712.1719,819.4542
8/15/2003,757.72544,826.61979
8/16/2003,769.72179,800.11113
8/17/2003,854.14362,773.35321
8/18/2003,870.47108,685.64021
8/19/2003,952.59843,651.03298
8/20/2003,743.59269,735.07363
8/21/2003,406.14572,713.97375
8/22/2003,498.51541,750.05117
8/23/2003,578.78793,774.51684
8/24/2003,686.31414,791.27548
8/25/2003,812.09246,824.29864
8/26/2003,931.90182,846.51307
8/27/2003,993.62697,778.39689
8/28/2003,990.80836,769.86154
8/29/2003,1391.25527,1011.71593
8/30/2003,891.75906,596.00183
8/31/2003,2003.2579,1203.46663
9/1/2003,2209.28426,1144.77726
9/2/2003,1104.19539,458.20117
9/3/2003,756.31886,508.55923
9/4/2003,828.40972,595.51162
9/5/2003,928.74928,549.60292
9/6/2003,1059.76217,536.71663
9/7/2003,1143.53648,577.55552
9/8/2003,1326.85147,668.7535
9/9/2003,1594.60396,802.40471
9/10/2003,1858.23127,770.53043
9/11/2003,2310.72026,817.63948
9/12/2003,2294.71554,897.56159
9/13/2003,2072.5574,894.40721
9/14/2003,1942.32037,776.12387
9/15/2003,1826.39219,666.11923
9/16/2003,1708.31768,557.81802
9/17/2003,1323.54873,590.94225
9/18/2003,933.79554,617.9697
9/19/2003,925.41949,605.04631
9/20/2003,844.12849,544.80908
9/21/2003,852.44132,549.00584
9/22/2003,837.3364,538.06575
9/23/2003,786.00253,503.87593
9/24/2003,946.88549,508.16555
9/25/2003,880.31375,496.34902
9/26/2003,1204.47961,643.49964
9/27/2003,775.49196,389.04627
9/28/2003,808.73228,445.31702
