Subbasin,Year,Months,Area,BMP_0,BMP_1,BMP_2,BMP_3,BMP_4,BMP_5,BMP_6,BMP_7,BMP_8,BMP_9,BMP_10,BMP_11,BMP_12,BMP_13,BMP_14,BMP_15,BMP_16,BMP_17,BMP_18,BMP_19,BMP_20,BMP_21,BMP_22,BMP_23,BMP_24,BMP_25,BMP_26,BMP_27,BMP_28,BMP_29,BMP_30,BMP_31,BMP_32,BMP_33,BMP_34,BMP_35,BMP_36,BMP_37,BMP_38,BMP_39,BMP_40,BMP_41,BMP_42,BMP_43,BMP_44,BMP_45,BMP_46,BMP_47,BMP_48,BMP_49,BMP_50,BMP_51,BMP_52,BMP_53,BMP_54,BMP_55
1,2003,1,8572.524772,971,964.7,928.5,928.2,760.5,735.2,734.9,568.5,555.2,555,753.3,726.5,726.2,548.9,531.8,531.6,386.9,380.4,380.3,955.8,919.8,919.5,756.3,731.3,731,560.8,547.6,547.4,742.9,716.5,716.2,534.4,517.7,517.5,381.7,375.2,375.1,942.6,907.1,906.8,746.7,721.9,721.6,552.7,539.5,539.4,732.6,706.5,706.2,523.8,507.4,507.2,376.5,370.1,370,20.41
2,2003,1,8158.536751,1573,1626,1587,1586,1183,1158,1093,821.5,796.3,758.4,1244,1214,1220,850.9,834.3,781.8,540,512.8,512.7,1605,1566,1566,1172,1083,1147,796.5,795.8,783.5,1225,1196,1196,779.9,815.1,809.7,531.4,525.2,525.1,1583,1456,1544,1157,1133,1133,795.8,735.1,771.1,1209,1111,1179,817.5,796.5,801.4,524.7,518.5,518.4,55.58
3,2003,1,15331.04682,526.6,495.3,495.3,495.3,289.1,289.1,289.1,170.2,170.2,170.2,379.5,379.5,379.5,209.7,209.7,209.7,122.1,122.1,122.1,486.3,486.3,486.3,283.6,283.6,283.6,166.5,166.5,166.5,372.8,372.8,372.8,205.8,205.8,205.8,119.2,119.2,119.2,477.3,477.3,477.3,278.1,278.1,278.1,162.8,162.8,162.8,366,366,366,201.8,201.8,201.8,116.4,116.4,116.4,31.69
4,2003,1,8968.593807,4340,4358,4170,4163,3497,3342,3207,2458,2338,2251,3736,3565,3564,2934,2797,2678,2020,1882,1879,4289,4104,4098,3473,3190,3311,2408,2315,2299,3673,3505,3499,2771,2750,2739,1990,1919,1916,4220,3893,4032,3424,3271,3265,2383,2186,2263,3612,3322,3441,2840,2702,2703,1961,1891,1888,117
5,2003,1,11720.36025,370,443.6,439.8,439.7,282.5,282.4,214.4,167.4,154.9,115.6,321.7,318.5,324,198.6,198.6,143.7,93.39,71.15,71.15,436.3,432.6,432.5,278.2,211,278.2,152.3,164.6,152.3,316.9,313.7,313.6,141.8,195.9,190.5,91.99,91.99,91.99,432.3,337,428.6,276.7,276.7,276.7,164.2,114.3,152.3,314.1,239.7,310.8,195,189.8,195,92.27,92.27,92.27,18.66
6,2003,1,6085.883429,1137,1106,1028,1024,1164,1091,1087,901,847.9,844.4,1091,1022,1017,955.2,897.6,893.9,738.5,696.3,693.5,1085,1009,1005,1143,1072,1068,885.1,833,829.6,1070,1002,997.4,938.7,882.2,878.6,725.6,684.3,681.6,1223,1145,1140,1123,1053,1049,869.3,818.3,814.9,1040,975.6,971.4,922.1,866.8,863.2,712.8,672.4,669.8,11.38
7,2003,1,1738.092101,5671,5652,5374,5363,4820,4583,4445,3461,3282,3192,4981,4730,4725,4022,3819,3698,2840,2656,2650,5559,5286,5275,4773,4411,4526,3394,3242,3222,4893,4648,4637,3842,3754,3740,2796,2678,2672,5624,5209,5342,4701,4469,4459,3350,3098,3170,4800,4437,4551,3891,3690,3686,2754,2637,2632,129.3
8,2003,1,908.9749891,11.93,11.93,11.93,11.93,10.16,10.16,10.16,8.655,8.655,8.655,4.303,4.303,4.303,3.317,3.317,3.317,2.751,2.751,2.751,11.94,11.94,11.94,10.17,10.17,10.17,8.655,8.655,8.655,4.304,4.304,4.304,3.317,3.317,3.317,2.751,2.751,2.751,15.33,15.33,15.33,13.17,13.17,13.17,11.46,11.46,11.46,6.351,6.351,6.351,5.287,5.287,5.287,4.754,4.754,4.754,1.502
9,2003,1,6735.624618,172.2,170.9,165.7,165.5,109.1,107.2,107,71.97,71.56,71.54,156.5,154.7,154.7,96.7,96.06,96.02,60.5,60.44,60.43,169,163.9,163.6,107.8,105.9,105.8,70.88,70.47,70.45,154.9,153.1,153,95.62,94.98,94.95,59.63,59.56,59.56,167.1,162.1,161.8,106.4,104.6,104.5,69.78,69.38,69.36,153.2,151.4,151.4,94.54,93.91,93.88,58.76,58.69,58.69,14.92
10,2003,1,4302.512045,5774,5752,5476,5464,4877,4641,4504,3498,3319,3231,5099,4849,4844,4082,3880,3759,2857,2674,2668,5658,5386,5375,4830,4470,4584,3430,3279,3259,5009,4764,4754,3902,3814,3800,2813,2695,2690,5722,5308,5440,4758,4526,4516,3385,3134,3206,4914,4552,4666,3949,3749,3746,2770,2654,2648,135.9
11,2003,1,5087.668444,464.6,434.2,422,421.6,315.3,308.3,308.1,199.9,198.3,198.3,309.9,306.3,306.1,214,212.3,212.2,119.4,119.4,119.4,425.5,413.5,413.2,309.1,302.3,302.1,195.7,194.2,194.2,304,300.5,300.3,210.1,208.5,208.5,117.1,117.1,117.1,416.8,405.1,404.8,302.8,296.1,295.9,191.6,190.2,190.1,298.5,295,294.8,206.3,204.7,204.7,114.8,114.8,114.8,7.394
12,2003,1,6229.751007,596.9,579.9,563.3,562.8,438.9,429,428.7,298.4,295.4,295.3,455.6,445.9,445.6,336.4,332.1,332,216.7,216.3,216.3,571.4,555.1,554.6,432.7,423,422.7,293.5,290.1,290,449.4,439.9,439.6,332.2,327.9,327.8,213.6,213.3,213.3,562.9,546.9,546.4,426.6,417.1,416.8,289,285.7,285.6,443.3,433.9,433.7,328,323.8,323.7,210.4,210.1,210,29.9
13,2003,1,9504.033747,7350,7268,6944,6932,6077,5810,5674,4321,4133,4045,6231,5955,5949,4968,4751,4632,3427,3242,3236,7148,6831,6819,6012,5623,5734,4239,4078,4058,6124,5854,5843,4777,4673,4659,3373,3253,3248,7184,6727,6856,5918,5657,5646,4179,3919,3989,6012,5627,5738,4811,4596,4592,3321,3203,3198,190.5
