Subbasin,Year,Months,Area,BMP_0,BMP_1,BMP_2,BMP_3,BMP_4,BMP_5,BMP_6,BMP_7,BMP_8,BMP_9,BMP_10,BMP_11,BMP_12,BMP_13,BMP_14,BMP_15,BMP_16,BMP_17,BMP_18,BMP_19,BMP_20,BMP_21,BMP_22,BMP_23,BMP_24,BMP_25,BMP_26,BMP_27,BMP_28,BMP_29,BMP_30,BMP_31,BMP_32,BMP_33,BMP_34,BMP_35,BMP_36,BMP_37,BMP_38,BMP_39,BMP_40,BMP_41,BMP_42,BMP_43,BMP_44,BMP_45,BMP_46,BMP_47,BMP_48,BMP_49,BMP_50,BMP_51,BMP_52,BMP_53,BMP_54,BMP_55
1,2003,1,8572.524772,92.46,94.24,90.71,90.24,68.26,65.83,65.5,49.26,47.78,47.57,66.08,63.76,63.47,45.29,43.77,43.57,29.86,29.13,29.03,90.73,87.32,86.86,64.85,62.53,62.22,46.5,45.08,44.89,63.16,60.93,60.65,42.45,41.02,40.84,27.75,27.06,26.97,87.36,84.07,83.63,61.56,59.35,59.05,43.78,42.43,42.25,60.32,58.19,57.92,39.74,38.4,38.23,25.73,25.1,25.01,0.0001171
2,2003,1,8158.536751,122.6,112.4,108.8,108.3,75.44,73.16,79.61,49.12,47.73,51.6,79.57,77.17,76.86,50.73,49.3,52.33,29.85,31,30.89,107.8,104.3,103.9,71.4,75.83,68.93,46.21,44.9,44.72,75.77,73.48,73.18,50.67,46.01,45.84,27.66,27.02,26.93,103.3,109.5,99.55,67.42,65.34,65.06,43.27,45.81,41.85,72.11,74.42,69.62,44.14,42.88,42.71,25.58,24.99,24.9,0.0007859
3,2003,1,15331.04682,16.09,15.55,15.55,15.55,5.837,5.837,5.837,0.6544,0.6544,0.6544,10.34,10.34,10.34,3.569,3.569,3.569,0.2057,0.2057,0.2057,14.93,14.93,14.93,5.508,5.508,5.508,0.6143,0.6143,0.6143,9.832,9.832,9.832,3.314,3.314,3.314,0.189,0.189,0.189,14.34,14.34,14.34,5.193,5.193,5.193,0.5756,0.5756,0.5756,9.344,9.344,9.344,3.072,3.072,3.072,0.1734,0.1734,0.1734,0.0003415
4,2003,1,8968.593807,267.4,258.2,245,243.3,183.7,174.2,179.5,124,117.5,120.6,197.5,187.3,186.1,139,131.8,133.3,90.3,87.31,86.71,248.5,235.7,234.1,174.5,171.7,164.2,116.9,110.8,110,189,179.2,178,133.2,123.8,123,84.38,80.33,79.78,239.1,235.8,225.1,165.4,156.7,155.5,110,107.9,103.4,180.8,174.8,170.2,122.8,116.3,115.4,78.75,74.95,74.43,0.002675
5,2003,1,11720.36025,27.3,15.1,14.85,14.81,7.713,7.712,14.74,2.339,2.339,6.571,10.99,10.77,10.73,5.53,5.53,8.785,1.511,3.37,3.352,14.3,14.06,14.02,7.138,14.03,7.137,2.143,2.143,2.143,10.36,10.15,10.11,8.463,5.088,5.092,1.377,1.377,1.377,13.45,23.11,13.19,6.561,6.56,6.56,1.949,5.907,1.949,9.755,14.15,9.522,4.672,4.676,4.672,1.251,1.251,1.251,0.0002199
6,2003,1,6085.883429,69.87,69.99,64.67,63.87,66.8,62.41,61.78,53.47,50.13,49.65,56.09,52.43,51.91,47.26,44.36,43.97,36.27,34.24,33.96,67.49,62.33,61.55,63.45,59.25,58.64,50.46,47.28,46.81,53.78,50.25,49.75,44.42,41.67,41.3,33.83,31.91,31.65,72.59,67.39,66.6,60.26,56.23,55.64,47.6,44.57,44.12,51.52,48.12,47.63,41.71,39.1,38.75,31.51,29.71,29.46,0.0001856
7,2003,1,1738.092101,334.3,325.5,307.2,304.8,249.1,235.4,239.9,175.8,166.2,168.7,252.6,238.9,237.2,186.4,176.3,177.5,126.2,121.2,120.4,313,295.4,293,236.2,229.3,221.3,165.6,156.4,155.1,241.6,228.4,226.7,177.5,165.3,164.1,117.6,111.7,110.9,308.2,299.8,288.6,223.6,211.1,209.4,155.6,150.5,145.7,230.9,221.6,216.5,164,155,153.8,109.5,104,103.2,0.04487
8,2003,1,908.9749891,1.366,1.366,1.366,1.366,0.5867,0.5867,0.5867,0.1501,0.1501,0.1501,0.3309,0.3309,0.3309,0.1067,0.1067,0.1067,0.002013,0.002013,0.002013,1.244,1.244,1.244,0.5077,0.5077,0.5077,0.1258,0.1258,0.1258,0.2942,0.2942,0.2942,0.09046,0.09046,0.09046,0.001723,0.001723,0.001723,1.047,1.047,1.047,0.3987,0.3987,0.3987,0.09372,0.09372,0.09372,0.2652,0.2652,0.2652,0.07896,0.07896,0.07896,0.00138,0.00138,0.00138,0.00002108
9,2003,1,6735.624618,10.92,11.17,10.77,10.71,4.413,4.272,4.253,1.801,1.774,1.77,10.36,10.12,10.09,4.155,4.083,4.073,1.707,1.7,1.699,10.51,10.12,10.07,4.039,3.905,3.887,1.631,1.605,1.601,9.728,9.497,9.465,3.793,3.727,3.717,1.542,1.535,1.534,9.876,9.499,9.447,3.687,3.56,3.542,1.471,1.447,1.443,9.118,8.897,8.866,3.453,3.391,3.382,1.388,1.382,1.381,0.0001555
10,2003,1,4302.512045,328.7,320.1,302.4,300.1,244.1,230.8,235.3,171.6,162.2,164.7,250.2,236.9,235.2,183.8,173.9,175.2,123.4,118.7,117.8,307.6,290.5,288.2,231.3,224.7,216.8,161.4,152.6,151.3,239,226.2,224.6,174.9,163,161.8,114.9,109.2,108.4,302.5,294.5,283.5,218.7,206.6,204.9,151.5,146.7,141.9,228.2,219.4,214.3,161.4,152.6,151.5,106.9,101.5,100.7,0.0794
11,2003,1,5087.668444,17.54,16.93,16.47,16.4,12.14,11.88,11.84,7.383,7.313,7.301,9.943,9.802,9.781,6.781,6.741,6.734,3.466,3.466,3.466,16.31,15.86,15.8,11.53,11.28,11.24,6.953,6.886,6.875,9.485,9.351,9.33,6.349,6.311,6.304,3.214,3.214,3.214,15.71,15.27,15.21,10.93,10.69,10.66,6.542,6.478,6.467,9.042,8.913,8.894,5.936,5.9,5.894,2.974,2.974,2.974,0.00009465
12,2003,1,6229.751007,33.51,34.13,32.86,32.69,20.81,20.11,20.01,11.18,10.99,10.96,28.56,27.7,27.58,16.61,16.2,16.14,8.376,8.327,8.32,32.43,31.21,31.05,19.4,18.75,18.65,10.32,10.11,10.09,27.01,26.19,26.08,15.36,14.98,14.92,7.667,7.622,7.615,30.8,29.62,29.47,18.06,17.44,17.36,9.527,9.332,9.306,25.53,24.74,24.64,14.17,13.82,13.77,7.002,6.959,6.953,0.0004581
13,2003,1,9504.033747,415.8,408,386.5,383.7,306.5,290.7,294.9,209.5,199.2,201.5,315.6,300,298.1,227.8,216.7,217.8,147.6,142.6,141.7,391.4,370.6,367.9,289.6,280.6,272.6,196.6,186.8,185.4,300.9,285.9,284.1,215.6,202.5,201.2,137,131,130.2,382.1,370.5,359.2,273.2,258.9,257,184,178.2,173.4,286.7,275.8,270.5,198.9,189,187.7,126.9,121.3,120.6,0.4632
14,2003,1,6459.722758,58.73,58.57,56.09,55.85,50.43,48.62,48.45,35.76,34.63,34.51,46.27,44.37,44.2,40.74,39.33,39.2,28.98,28.09,28,55.8,53.43,53.2,47.05,45.36,45.19,33,31.96,31.84,43.75,41.94,41.78,37.6,36.29,36.16,26.45,25.64,25.56,53.11,50.84,50.62,43.82,42.23,42.07,30.38,29.41,29.31,41.3,39.59,39.43,34.61,33.39,33.28,24.05,23.31,23.23,0.0001573
15,2003,1,6765.943223,23.09,23.79,22.67,22.52,18.93,18.12,18.05,12.97,12.67,12.63,19.72,18.86,18.75,15.6,14.97,14.92,10.26,10.1,10.08,24.1,22.8,22.63,18.87,17.92,17.84,13,12.57,12.52,18.63,17.81,17.71,14.4,13.82,13.77,9.377,9.224,9.205,22.91,21.66,21.5,17.56,16.67,16.59,11.99,11.58,11.54,17.58,16.8,16.7,13.25,12.72,12.67,8.54,8.399,8.381,0.0001664
16,2003,1,14016.4601,211,210.5,204.1,203.7,195.5,189.9,189.6,154.8,150.6,150.3,173.7,168.6,168.3,165.5,160.9,160.7,131.8,128.3,128,198.4,192.3,191.9,180.2,175.1,174.8,141.1,137.3,137,162.4,157.5,157.3,151,146.8,146.6,119,115.8,115.6,186.6,180.9,180.6,165.6,160.9,160.6,128.2,124.7,124.4,151.4,146.9,146.6,137.2,133.3,133.2,106.8,103.9,103.7,0.0003449
17,2003,1,12348.65779,542.3,536,507.1,503.7,408.1,387.1,390.7,276.6,263,265,411.2,390.5,388.1,304.3,289.4,290.3,196.9,189.7,188.6,513.1,485.3,481.9,384.3,370.4,362,258.3,245.5,243.8,391.1,371.2,368.9,285.9,269.4,267.8,181.8,173.7,172.8,497.6,479.1,467.3,361.2,342.4,340,240.5,231.9,226.9,371.6,356.2,350.5,263.4,250.4,248.8,167.5,160,159.1,1.001
18,2003,1,7060.228951,50.53,51.84,49.92,49.67,33.39,32.15,32.02,20.47,20.04,19.98,42.11,40.62,40.44,26.46,25.49,25.41,15.48,15.17,15.13,50.76,48.69,48.43,32.35,31,30.86,19.91,19.35,19.28,39.79,38.37,38.21,24.44,23.54,23.46,14.14,13.86,13.82,48.25,46.27,46.02,30.15,28.89,28.75,18.38,17.85,17.79,37.56,36.21,36.06,22.52,21.69,21.61,12.87,12.61,12.58,0.0004294
19,2003,1,538.7279179,794,788.5,751.7,747.7,629.7,602.3,605.4,446.7,428.6,430.3,620.8,593.6,590.9,492,471.8,472.3,341.4,330.4,329.1,752.6,717.1,713.2,589.8,569.7,560.9,414.3,397.2,395.3,587.1,561.3,558.6,457.3,435.7,433.9,312.3,300.8,299.5,722.9,697.1,684.8,550.1,525.5,522.8,382.3,369.8,364.5,554.6,533.5,527.4,419.1,401.5,399.7,284.6,274,272.9,1.801
20,2003,1,5128.848334,21.91,21.57,20.97,20.88,15.52,15.3,15.27,9.152,9.152,9.152,14.85,14.45,14.38,10.82,10.82,10.82,5.9,5.9,5.9,20.54,19.96,19.88,14.48,14.28,14.25,8.465,8.465,8.465,13.92,13.56,13.49,9.942,9.942,9.942,5.339,5.339,5.339,19.54,18.99,18.9,13.5,13.3,13.27,7.808,7.808,7.808,12.94,12.6,12.54,9.044,9.044,9.044,4.811,4.811,4.811,0.00009063
21,2003,1,11608.20591,48.81,47.85,46.56,46.38,34.23,33.73,33.67,20.4,20.4,20.4,32.07,31.24,31.11,23.17,23.17,23.17,12.67,12.67,12.67,45.65,44.42,44.25,32.04,31.56,31.5,18.92,18.92,18.92,30.17,29.39,29.27,21.35,21.35,21.35,11.5,11.5,11.5,43.52,42.34,42.18,29.94,29.48,29.42,17.5,17.5,17.5,28.11,27.38,27.26,19.48,19.48,19.48,10.39,10.39,10.39,0.0001934
22,2003,1,10527.44521,43.72,42.84,41.67,41.5,30.84,30.39,30.33,18.41,18.41,18.41,28.24,27.5,27.37,20.67,20.67,20.67,11.35,11.35,11.35,40.82,39.7,39.54,28.82,28.39,28.33,17.05,17.05,17.05,26.5,25.8,25.68,19,19,19,10.3,10.3,10.3,38.85,37.79,37.64,26.89,26.48,26.43,15.75,15.75,15.75,24.8,24.14,24.03,17.37,17.37,17.37,9.301,9.301,9.301,0.0001543
23,2003,1,5632.50742,18.48,18.63,18.49,18.47,13.15,13.15,13.15,7.19,7.19,7.19,15.48,15.45,15.45,11.04,11.04,11.04,5.889,5.889,5.889,17.63,17.5,17.49,12.18,12.18,12.18,6.594,6.594,6.594,14.57,14.54,14.54,10.14,10.14,10.14,5.351,5.351,5.351,16.68,16.55,16.53,11.25,11.25,11.25,6.029,6.029,6.029,13.69,13.66,13.66,9.288,9.288,9.288,4.844,4.844,4.844,0.0001455
24,2003,1,7478.485416,23.2,22.71,22.04,21.95,14.97,14.76,14.73,7.909,7.909,7.909,15.63,15.19,15.13,10.56,10.56,10.56,5.151,5.151,5.151,21.66,21.03,20.94,13.99,13.8,13.76,7.317,7.317,7.317,14.76,14.35,14.28,9.732,9.732,9.732,4.688,4.688,4.688,20.64,20.04,19.96,13.06,12.87,12.85,6.753,6.753,6.753,13.91,13.52,13.46,8.95,8.95,8.95,4.249,4.249,4.249,0.0001539
25,2003,1,6404.892316,129.4,127.3,124,123.5,90.71,89.51,89.34,52.82,52.82,52.82,87.72,85.54,85.19,63.22,63.2,63.2,34,34,34,121.1,118,117.5,84.62,83.47,83.31,48.82,48.82,48.82,82.35,80.3,79.98,58.1,58.08,58.08,30.81,30.81,30.81,115.2,112.2,111.7,78.81,77.71,77.56,45,45,45,76.85,74.94,74.63,52.99,52.97,52.97,27.79,27.79,27.79,0.001747
26,2003,1,15291.53204,852.8,847.7,809.8,805.7,672,644.3,647.4,469.4,451.5,453.1,668.5,640.4,637.6,526.9,506.5,507.1,359.5,348.5,347.2,808.2,771.7,767.6,628.5,608.1,599.4,434.8,417.8,415.9,631.5,604.8,602.1,488.9,467.3,465.4,328.4,316.9,315.7,774.9,748.1,735.8,585.4,560.7,558,400.6,388.2,382.9,595.9,574,567.8,447.7,430,428.2,298.9,288.3,287.2,1.704
27,2003,1,9188.727004,964.5,957.4,917,912.5,749.5,721.1,724.1,512.8,495.2,496.8,744.1,714.4,711.3,581,560.8,561.4,387,376.2,374.9,912.1,873.3,868.9,700.4,679.3,670.5,474.6,458,456.1,702.2,674,671,538.3,516.9,515.1,353.1,341.8,340.6,873.3,844.2,831.7,652,626.7,623.9,437.1,425,419.8,661.4,638.2,631.8,492.4,475,473.2,321,310.6,309.4,1.72
