Subbasin,Year,Months,Area,BMP_0,BMP_1,BMP_2,BMP_3,BMP_4,BMP_5,BMP_6,BMP_7,BMP_8,BMP_9,BMP_10,BMP_11,BMP_12,BMP_13,BMP_14,BMP_15,BMP_16,BMP_17,BMP_18,BMP_19,BMP_20,BMP_21,BMP_22,BMP_23,BMP_24,BMP_25,BMP_26,BMP_27,BMP_28,BMP_29,BMP_30,BMP_31,BMP_32,BMP_33,BMP_34,BMP_35,BMP_36,BMP_37,BMP_38,BMP_39,BMP_40,BMP_41,BMP_42,BMP_43,BMP_44,BMP_45,BMP_46,BMP_47,BMP_48,BMP_49,BMP_50,BMP_51,BMP_52,BMP_53,BMP_54,BMP_55
1,2003,1,8572.524772,19.38,19.5,18.21,18.21,12.9,12.14,12.14,9.137,8.672,8.672,10.81,10.18,10.18,6.253,5.938,5.938,3.867,3.739,3.739,19.44,18.15,18.15,12.86,12.11,12.11,9.112,8.649,8.649,10.8,10.17,10.17,6.25,5.936,5.936,3.865,3.737,3.737,19.39,18.11,18.11,12.83,12.08,12.08,9.079,8.619,8.619,10.8,10.16,10.16,6.248,5.933,5.933,3.863,3.735,3.735,0.09772
2,2003,1,8158.536751,3.977,3.734,3.703,3.703,5.92,5.919,6.359,6.536,6.534,6.317,7.641,7.626,7.628,8.531,8.531,8.282,9.254,8.735,8.735,3.729,3.698,3.698,5.918,6.357,5.918,6.534,6.536,6.534,7.638,7.623,7.623,8.311,8.528,8.526,9.25,9.25,9.25,3.722,3.594,3.692,5.913,5.913,5.913,5.316,5.704,5.315,7.634,7.298,7.617,8.523,8.522,8.523,9.244,9.244,9.244,0.1033
3,2003,1,15331.04682,2.246,2.15,2.15,2.15,0.7808,0.7808,0.7808,0.1984,0.1984,0.1984,1.063,1.063,1.063,0.3847,0.3847,0.3847,0.1428,0.1428,0.1428,2.146,2.146,2.146,0.7791,0.7791,0.7791,0.1978,0.1978,0.1978,1.063,1.063,1.063,0.3846,0.3846,0.3846,0.1428,0.1428,0.1428,2.143,2.143,2.143,0.7773,0.7773,0.7773,0.1972,0.1972,0.1972,1.062,1.062,1.062,0.3845,0.3845,0.3845,0.1428,0.1428,0.1428,0.00382
4,2003,1,8968.593807,5.071,6.967,6.14,6.149,8.735,8.126,6.049,7.815,7.434,6.601,5.573,5.501,5.51,7.336,7.297,6.317,6.971,6.275,6.276,6.958,6.135,6.144,8.659,5.893,7.969,7.81,7.441,7.436,5.574,5.503,5.509,6.351,7.297,7.294,6.971,6.956,6.956,6.961,5.099,6.146,8.657,7.969,7.97,8.638,6.357,8.263,5.575,4.579,5.51,7.332,7.289,7.293,6.97,6.955,6.956,24.8
5,2003,1,11720.36025,3.082,4.949,4.949,4.949,6.278,6.278,4.502,6.204,6.196,4.482,5.163,5.163,5.167,6.474,6.474,5.025,6.402,5.166,5.167,4.948,4.948,4.948,6.276,4.501,6.276,6.195,6.204,6.195,5.162,5.162,5.162,5.024,6.473,6.468,6.401,6.401,6.401,4.95,3.118,4.951,6.276,6.276,6.276,6.203,4.48,6.195,5.16,3.813,5.16,6.471,6.465,6.471,6.398,6.398,6.398,0.0008217
6,2003,1,6085.883429,11.58,11.64,9.409,9.313,9.884,8.314,8.256,7.537,6.401,6.367,7.045,5.873,5.825,4.966,4.248,4.227,3.484,3.022,3.012,11.63,9.398,9.303,9.867,8.299,8.242,7.521,6.388,6.353,7.042,5.87,5.823,4.964,4.247,4.225,3.482,3.02,3.01,12.98,10.71,10.61,9.851,8.285,8.228,7.506,6.374,6.34,7.039,5.867,5.82,4.962,4.245,4.224,3.481,3.019,3.009,0.000009381
7,2003,1,1738.092101,10.61,8.874,7.185,7.198,8.218,7.25,7.915,9.101,8.563,7.947,19.38,18.33,18.37,15.94,15.39,15.96,14.19,13.61,13.62,8.842,7.153,7.187,8.233,7.896,7.284,9.098,8.563,8.568,19.34,18.29,18.33,16.62,15.33,15.35,14.16,13.89,13.91,6.406,5.454,4.73,8.225,7.265,7.276,7.423,7.371,6.895,19.28,19.37,18.28,15.84,15.29,15.31,14.13,13.86,13.88,0.1004
8,2003,1,908.9749891,0.2821,0.2821,0.2821,0.2821,0.11,0.11,0.11,0.03276,0.03276,0.03276,0.01375,0.01375,0.01375,0.007798,0.007798,0.007798,0.006365,0.006365,0.006365,0.2821,0.2821,0.2821,0.11,0.11,0.11,0.03276,0.03276,0.03276,0.01375,0.01375,0.01375,0.007798,0.007798,0.007798,0.006365,0.006365,0.006365,0.2447,0.2447,0.2447,0.09134,0.09134,0.09134,0.02779,0.02779,0.02779,0.01325,0.01325,0.01325,0.007289,0.007289,0.007289,0.005934,0.005934,0.005934,0.0003318
9,2003,1,6735.624618,1.222,1.248,1.057,1.051,0.3501,0.2926,0.2916,0.1322,0.1205,0.1205,1.033,0.926,0.9235,0.2873,0.2623,0.2621,0.1122,0.1096,0.1096,1.247,1.056,1.05,0.3498,0.2925,0.2915,0.1322,0.1204,0.1204,1.033,0.9257,0.9232,0.2872,0.2622,0.2621,0.1122,0.1096,0.1096,1.246,1.055,1.049,0.3496,0.2924,0.2914,0.1321,0.1204,0.1204,1.032,0.9254,0.9229,0.2872,0.2622,0.2621,0.1122,0.1096,0.1096,0.000568
10,2003,1,4302.512045,23.7,23.59,23.59,23.59,24.71,23.58,22.76,17.94,18.55,18,23.83,22.51,22.47,21.47,18.85,19.27,18.18,17.56,17.55,25.36,24.43,24.25,23.8,23.14,23.6,17.93,18.53,18.49,23.8,22.48,22.44,20.79,18.85,18.34,18.75,17.93,17.83,28.34,25.35,28.41,23.68,23.63,23.53,17.95,18.05,18.53,23.77,21.11,22.41,21.4,18.61,18.43,18.72,18.02,17.92,0.1236
11,2003,1,5087.668444,2.313,2.208,2.116,2.116,1.391,1.348,1.348,0.8111,0.8025,0.8025,0.6857,0.6745,0.6745,0.3725,0.3714,0.3714,0.18,0.18,0.18,2.201,2.109,2.109,1.384,1.341,1.341,0.8058,0.7974,0.7974,0.685,0.6739,0.6739,0.372,0.3709,0.3709,0.1797,0.1797,0.1797,2.193,2.102,2.102,1.377,1.335,1.335,0.8006,0.7923,0.7923,0.6844,0.6733,0.6733,0.3716,0.3705,0.3705,0.1793,0.1793,0.1793,0.00002649
12,2003,1,6229.751007,5.553,5.566,5.567,5.568,5.859,5.859,5.861,5.968,5.968,5.969,5.597,5.597,5.598,5.793,5.793,5.794,5.965,5.965,5.966,5.657,5.657,5.659,5.859,5.859,5.861,5.968,5.968,5.969,5.596,5.596,5.597,5.792,5.792,5.793,5.964,5.964,5.964,5.655,5.656,5.657,5.859,5.859,5.86,5.968,5.968,5.969,5.67,5.67,5.672,5.791,5.791,5.792,5.961,5.961,5.961,0.02913
