Subbasin,Year,BMP_0,BMP_1,BMP_2,BMP_3,BMP_4,BMP_5,BMP_6,BMP_7,BMP_8,BMP_9,BMP_10,BMP_11,BMP_12,BMP_13,BMP_14,BMP_15,BMP_16,BMP_17,BMP_18,BMP_19,BMP_20,BMP_21,BMP_22,BMP_23,BMP_24,BMP_25,BMP_26,BMP_27,BMP_28,BMP_29,BMP_30,BMP_31,BMP_32,BMP_33,BMP_34,BMP_35,BMP_36,BMP_37,BMP_38,BMP_39,BMP_40,BMP_41,BMP_42,BMP_43,BMP_44,BMP_45,BMP_46,BMP_47,BMP_48,BMP_49,BMP_50,BMP_51,BMP_52,BMP_53,BMP_54,BMP_55,BMP56,BMP57,BMP58,BMP59,BMP60,BMP61
1,2003,10355.35495,10540.75891,10540.75891,10540.75891,10509.31663,10509.31663,10509.31663,10465.16853,10465.16853,10465.16853,10544.17681,10544.17681,10544.17681,10512.38539,10512.38539,10512.38539,10470.25256,10470.25256,10470.25256,10529.17784,10529.17784,10529.17784,10494.80153,10494.80153,10494.80153,10449.96438,10449.96438,10449.96438,10534.25231,10534.25231,10534.25231,10498.58902,10498.58902,10498.58902,10454.54021,10454.54021,10454.54021,10517.4382,10517.4382,10517.4382,10479.51561,10479.51561,10479.51561,10432.18173,10432.18173,10432.18173,10520.31596,10520.31596,10520.31596,10484.47489,10484.47489,10484.47489,10437.16038,10437.16038,10437.16038,,10355.35495,10355.35495,10355.35495,10355.35495,10355.35495,10355.35495
2,2003,10443.68449,10638.08148,10638.08148,10638.08148,10605.88309,10605.88309,10605.88309,10576.00368,10576.00368,10576.00368,10643.53189,10643.53189,10643.53189,10617.76344,10617.76344,10617.76344,10589.09839,10589.09839,10589.09839,10627.69774,10627.69774,10627.69774,10591.33295,10591.33295,10591.33295,10556.7848,10556.7848,10556.7848,10633.10949,10633.10949,10633.10949,10602.71626,10602.71626,10602.71626,10571.72564,10571.72564,10571.72564,10614.25447,10614.25447,10614.25447,10574.40129,10574.40129,10574.40129,10536.35347,10536.35347,10536.35347,10619.9689,10619.9689,10619.9689,10586.08535,10586.08535,10586.08535,10551.20884,10551.20884,10551.20884,,10443.68449,10443.68449,10443.68449,10443.68449,10443.68449,10443.68449
3,2003,10465.67625,10664.20355,10664.20355,10664.20355,10647.71003,10647.71003,10647.71003,10629.33719,10629.33719,10629.33719,10665.45272,10665.45272,10665.45272,10651.66058,10651.66058,10651.66058,10631.4588,10631.4588,10631.4588,10659.78244,10659.78244,10659.78244,10639.50303,10639.50303,10639.50303,10617.31787,10617.31787,10617.31787,10661.34009,10661.34009,10661.34009,10642.16413,10642.16413,10642.16413,10621.71814,10621.71814,10621.71814,10652.2302,10652.2302,10652.2302,10630.1863,10630.1863,10630.1863,10605.74278,10605.74278,10605.74278,10654.63858,10654.63858,10654.63858,10632.63912,10632.63912,10632.63912,10608.94583,10608.94583,10608.94583,,10465.67625,10465.67625,10465.67625,10465.67625,10465.67625,10465.67625
4,2003,9857.883322,10669.18783,10669.18783,10669.18783,10668.02607,10668.02607,10042.97594,10666.07988,10666.07988,10041.86395,10670.19985,10670.19985,10670.19985,10669.56081,10669.56081,10044.61854,10667.01075,10042.90549,10042.90549,10666.59799,10666.59799,10666.59799,10664.46205,10039.61994,10664.46205,10661.44305,10661.44305,10661.44305,10667.91858,10667.91858,10667.91858,10041.04963,10665.81259,10665.81259,10663.27815,10663.27815,10663.27815,10662.63209,10038.08277,10662.63209,10660.10779,10660.10779,10660.10779,10656.86054,10033.09639,10656.86054,10664.31895,10039.84807,10664.31895,10661.45795,10661.45795,10661.45795,10658.05141,10658.05141,10658.05141,,10469.08252,10469.08252,10469.08252,10469.08252,10469.08252,10469.08252
5,2003,5305.907184,10785.44594,10785.44594,10785.44594,10768.20985,10768.20985,5375.870519,10761.03781,10752.96279,5375.659193,10787.99322,10787.99322,10792.59469,10777.95126,10777.95126,5378.063054,10757.57511,5378.500039,5378.500039,10775.94741,10775.94741,10775.94741,10757.19687,5371.706004,10757.19687,10740.24259,10749.12331,10740.24259,10778.65909,10778.65909,10778.65909,5374.022772,10767.89006,10759.84158,10744.91879,10744.91879,10744.91879,10765.00031,5377.434473,10765.00031,10744.43535,10744.43535,10744.43535,10735.70786,5365.415419,10725.70682,10767.9641,5379.965067,10767.9641,10756.85272,10747.46766,10756.85272,10730.98779,10730.98779,10730.98779,,10591.91033,10591.91033,10591.91033,10591.91033,10591.91033,10591.91033
6,2003,10466.9332,10654.59495,10654.59495,10654.59495,10603.1024,10603.1024,10603.1024,10554.7176,10554.7176,10554.7176,10663.83146,10663.83146,10663.83146,10623.04573,10623.04573,10623.04573,10580.03608,10580.03608,10580.03608,10638.1518,10638.1518,10638.1518,10583.48336,10583.48336,10583.48336,10532.52509,10532.52509,10532.52509,10648.23192,10648.23192,10648.23192,10604.27412,10604.27412,10604.27412,10558.60679,10558.60679,10558.60679,10620.19531,10620.19531,10620.19531,10561.89417,10561.89417,10561.89417,10508.28879,10508.28879,10508.28879,10631.31618,10631.31618,10631.31618,10583.76846,10583.76846,10583.76846,10535.33639,10535.33639,10535.33639,,10466.9332,10466.9332,10466.9332,10466.9332,10466.9332,10466.9332
7,2003,10591.54289,10785.65174,10785.65174,10785.65174,10773.45547,10773.45547,10773.45547,10763.80206,10763.80206,10763.80206,10787.91562,10787.91562,10787.91562,10775.30893,10775.30893,10775.30893,10766.83197,10766.83197,10766.83197,10776.69567,10776.69567,10776.69567,10762.90061,10762.90061,10762.90061,10752.0161,10752.0161,10752.0161,10779.10446,10779.10446,10779.10446,10764.97079,10764.97079,10764.97079,10755.21373,10755.21373,10755.21373,10766.23027,10766.23027,10766.23027,10749.57434,10749.57434,10749.57434,10738.70496,10738.70496,10738.70496,10768.84216,10768.84216,10768.84216,10753.01488,10753.01488,10753.01488,10742.30168,10742.30168,10742.30168,,10591.54289,10591.54289,10591.54289,10591.54289,10591.54289,10591.54289
8,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2003,9941.911089,10133.82058,10133.82058,10133.82058,10132.07888,10132.07888,10132.07888,10130.77481,10130.77481,10130.77481,10135.11671,10135.11671,10135.11671,10133.68179,10133.68179,10133.68179,10132.00794,10132.00794,10132.00794,10129.57434,10129.57434,10129.57434,10129.27082,10129.27082,10129.27082,10129.09157,10129.09157,10129.09157,10131.07862,10131.07862,10131.07862,10129.644,10129.644,10129.644,10129.31734,10129.31734,10129.31734,10128.48812,10128.48812,10128.48812,10128.10772,10128.10772,10128.10772,10126.88781,10126.88781,10126.88781,10128.86762,10128.86762,10128.86762,10128.55825,10128.55825,10128.55825,10127.95298,10127.95298,10127.95298,,9941.911089,9941.911089,9941.911089,9941.911089,9941.911089,9941.911089
10,2003,10600.18295,10798.88945,10798.88945,10798.88945,10786.91558,10786.91558,10786.91558,10777.48798,10777.48798,10777.48798,10801.79093,10801.79093,10801.79093,10788.83808,10788.83808,10788.83808,10781.68158,10781.68158,10781.68158,10792.58057,10792.58057,10792.58057,10776.92567,10776.92567,10776.92567,10768.96326,10768.96326,10768.96326,10794.05973,10794.05973,10794.05973,10781.43328,10781.43328,10781.43328,10770.99726,10770.99726,10770.99726,10784.50472,10784.50472,10784.50472,10766.98328,10766.98328,10766.98328,10757.53445,10757.53445,10757.53445,10787.26135,10787.26135,10787.26135,10770.77755,10770.77755,10770.77755,10759.81305,10759.81305,10759.81305,,10600.18295,10600.18295,10600.18295,10600.18295,10600.18295,10600.18295
