Subbasin,Year,Months,Area,BMP_0,BMP_1,BMP_2,BMP_3,BMP_4,BMP_5,BMP_6,BMP_7,BMP_8,BMP_9,BMP_10,BMP_11,BMP_12,BMP_13,BMP_14,BMP_15,BMP_16,BMP_17,BMP_18,BMP_19,BMP_20,BMP_21,BMP_22,BMP_23,BMP_24,BMP_25,BMP_26,BMP_27,BMP_28,BMP_29,BMP_30,BMP_31,BMP_32,BMP_33,BMP_34,BMP_35,BMP_36,BMP_37,BMP_38,BMP_39,BMP_40,BMP_41,BMP_42,BMP_43,BMP_44,BMP_45,BMP_46,BMP_47,BMP_48,BMP_49,BMP_50,BMP_51,BMP_52,BMP_53,BMP_54,BMP_55,BMP56,BMP57,BMP58,BMP59,BMP60,BMP61
1,2003,1,8572.524772,0.116284,0.115484,0.111484,0.111484,0.090284,0.087284,0.087284,0.066589,0.065589,0.065589,0.089693,0.086693,0.086693,0.065692,0.063692,0.063692,0.045692,0.044692,0.044692,0.114479,0.109479,0.109479,0.088869,0.085869,0.085869,0.066536,0.064536,0.064536,0.087693,0.084693,0.084693,0.063692,0.061692,0.061692,0.045692,0.044692,0.044692,0.113474,0.108474,0.108474,0.088815,0.085815,0.085815,0.065284,0.063284,0.063284,0.087693,0.083693,0.083693,0.062692,0.060692,0.060692,0.044692,0.043692,0.043692,0.0394,0.116284,0.116284,0.116284,0.116284,0.116284,0.116284
2,2003,1,8158.536751,0.03257,0.03052,0.03052,0.03052,0.0209,0.0209,0.0209,0.01287,0.01287,0.01287,0.024795,0.024795,0.024795,0.01609,0.01609,0.01609,0.0091,0.0091,0.0091,0.03049,0.03049,0.03049,0.02087,0.02087,0.02087,0.01284,0.01284,0.01284,0.024783,0.024783,0.024783,0.01606,0.01606,0.01606,0.00907,0.00907,0.00907,0.02946,0.02946,0.02946,0.01983,0.01983,0.01983,0.0127,0.0127,0.0127,0.02277,0.02277,0.02277,0.01504,0.01504,0.01504,0.00905,0.00905,0.00905,0.0455,0.03257,0.03257,0.03257,0.03257,0.03257,0.03257
3,2003,1,15331.04682,0.03553,0.03353,0.03353,0.03353,0.01953,0.01953,0.01953,0.01053,0.01053,0.01053,0.025532,0.025532,0.025532,0.013532,0.013532,0.013532,0.007531,0.007531,0.007531,0.03153,0.03153,0.03153,0.01853,0.01853,0.01853,0.01053,0.01053,0.01053,0.025532,0.025532,0.025532,0.013532,0.013532,0.013532,0.007531,0.007531,0.007531,0.03153,0.03153,0.03153,0.01853,0.01853,0.01853,0.01053,0.01053,0.01053,0.024532,0.024532,0.024532,0.013532,0.013532,0.013532,0.007531,0.007531,0.007531,0.0537,0.03553,0.03553,0.03553,0.03553,0.03553,0.03553
4,2003,1,8968.593807,0.25786,0.2578,0.2408,0.2398,0.23379,0.21879,0.21079,0.16873,0.15773,0.15273,0.242636,0.226636,0.225636,0.215661,0.201661,0.193662,0.15767,0.14367,0.14367,0.25378,0.23678,0.23578,0.23277,0.20977,0.21677,0.16671,0.15571,0.15571,0.238631,0.222631,0.221631,0.205656,0.198656,0.198656,0.153665,0.146665,0.146665,0.24875,0.22575,0.23175,0.22874,0.21474,0.21374,0.16468,0.14868,0.15368,0.234627,0.211627,0.217627,0.209651,0.195651,0.195651,0.151659,0.144659,0.144659,0.0431,0.26486,0.26486,0.26486,0.26486,0.26486,0.26486
5,2003,1,11720.36025,0.03191,0.03853,0.03853,0.03853,0.02472,0.02472,0.01903,0.01522,0.01357,0.00996,0.02858,0.02858,0.02878,0.01801,0.01801,0.01317,0.00877,0.00615,0.00615,0.03848,0.03748,0.03748,0.02467,0.01801,0.02467,0.01353,0.01516,0.01353,0.02856,0.02856,0.02856,0.01217,0.01799,0.01779,0.00875,0.00875,0.00875,0.03743,0.02782,0.03743,0.02463,0.02463,0.02463,0.01411,0.00993,0.01349,0.02855,0.020979,0.02755,0.01797,0.01778,0.01797,0.00874,0.00874,0.00874,0.00578,0.04063,0.04063,0.04063,0.04063,0.04063,0.04063
6,2003,1,6085.883429,0.19099,0.18595,0.17295,0.17195,0.19522,0.18322,0.18222,0.15122,0.14222,0.14222,0.18305,0.17105,0.17005,0.16016,0.15016,0.15016,0.12455,0.11655,0.11655,0.18085,0.16885,0.16785,0.19212,0.18012,0.17912,0.14913,0.14013,0.13913,0.17799,0.16699,0.16599,0.15709,0.14809,0.14709,0.12247,0.11547,0.11447,0.20457,0.19157,0.19057,0.18802,0.17602,0.17502,0.14603,0.13803,0.13703,0.17393,0.16293,0.16193,0.15402,0.14502,0.14402,0.1204,0.1134,0.1124,0.00766,0.19099,0.19099,0.19099,0.19099,0.19099,0.19099
7,2003,1,1738.092101,0.1317,0.12862,0.12162,0.12062,0.11282,0.10682,0.10682,0.07674,0.07274,0.07274,0.10803,0.10103,0.10103,0.09629,0.09029,0.09029,0.06426,0.06126,0.06026,0.12658,0.11858,0.11858,0.11179,0.10479,0.10479,0.0757,0.0717,0.0717,0.10602,0.09902,0.09902,0.09427,0.08927,0.08927,0.06325,0.06025,0.06025,0.12455,0.11655,0.11655,0.10975,0.10375,0.10375,0.07467,0.07067,0.07067,0.104,0.097,0.097,0.09326,0.08826,0.08826,0.06324,0.05924,0.05924,0.00654,0.1317,0.1317,0.1317,0.1317,0.1317,0.1317
8,2003,1,908.9749891,0.013,0.013,0.013,0.013,0.012,0.012,0.012,0.01,0.01,0.01,0.004145,0.004145,0.004145,0.004145,0.004145,0.004145,0.003145,0.003145,0.003145,0.013,0.013,0.013,0.012,0.012,0.012,0.01,0.01,0.01,0.004145,0.004145,0.004145,0.004145,0.004145,0.004145,0.003145,0.003145,0.003145,0.018,0.018,0.018,0.015,0.015,0.015,0.013,0.013,0.013,0.006397,0.006397,0.006397,0.00539,0.00539,0.00539,0.005371,0.005371,0.005371,0.0318,0.013,0.013,0.013,0.013,0.013,0.013
9,2003,1,6735.624618,0.02605,0.025976,0.024976,0.024976,0.0161,0.0161,0.0161,0.01016,0.01016,0.01016,0.023795,0.023795,0.023795,0.014809,0.014809,0.014809,0.008808,0.008808,0.008808,0.025968,0.024968,0.024968,0.0161,0.0161,0.0151,0.01015,0.01015,0.01015,0.023795,0.023795,0.023795,0.014809,0.013809,0.013809,0.008808,0.008808,0.008808,0.024961,0.024961,0.024961,0.01609,0.01509,0.01509,0.01014,0.01014,0.01014,0.023795,0.023795,0.023795,0.014809,0.013809,0.013809,0.008808,0.008808,0.008808,0.0415,0.02605,0.02605,0.02605,0.02605,0.02605,0.02605
10,2003,1,4302.512045,0.02927,0.02818,0.02818,0.02818,0.01867,0.01867,0.01867,0.01361,0.01361,0.01361,0.03219,0.03219,0.03219,0.01879,0.01879,0.01879,0.00879,0.00879,0.00879,0.02813,0.02813,0.02813,0.01862,0.01862,0.01862,0.01257,0.01257,0.01257,0.03117,0.03117,0.03117,0.01878,0.01878,0.01878,0.00878,0.00878,0.00878,0.02709,0.02709,0.02709,0.01858,0.01858,0.01858,0.01253,0.01253,0.01253,0.03116,0.03116,0.03116,0.01877,0.01877,0.01877,0.00777,0.00777,0.00777,0.0408,0.02927,0.02927,0.02927,0.02927,0.02927,0.02927
