Subbasin,Year,BMP_0,BMP_1,BMP_2,BMP_3,BMP_4,BMP_5,BMP_6,BMP_7,BMP_8,BMP_9,BMP_10,BMP_11,BMP_12,BMP_13,BMP_14,BMP_15,BMP_16,BMP_17,BMP_18,BMP_19,BMP_20,BMP_21,BMP_22,BMP_23,BMP_24,BMP_25,BMP_26,BMP_27,BMP_28,BMP_29,BMP_30,BMP_31,BMP_32,BMP_33,BMP_34,BMP_35,BMP_36,BMP_37,BMP_38,BMP_39,BMP_40,BMP_41,BMP_42,BMP_43,BMP_44,BMP_45,BMP_46,BMP_47,BMP_48,BMP_49,BMP_50,BMP_51,BMP_52,BMP_53,BMP_54,BMP_55,BMP56,BMP57,BMP58,BMP59,BMP60,BMP61
1,2003,2543.268977,2487.063845,2487.063845,2487.063845,2487.078205,2487.078205,2487.078205,2487.164774,2487.164774,2487.164774,2486.987663,2486.987663,2486.987663,2487.012159,2487.012159,2487.012159,2487.091509,2487.091509,2487.091509,2487.063845,2487.063845,2487.063845,2487.078205,2487.078205,2487.078205,2487.164774,2487.164774,2487.164774,2486.988235,2486.988235,2486.988235,2487.016519,2487.016519,2487.016519,2487.091509,2487.091509,2487.091509,2487.063273,2487.063273,2487.063273,2487.073844,2487.073844,2487.073844,2487.164774,2487.164774,2487.164774,2486.992595,2486.992595,2486.992595,2487.016519,2487.016519,2487.016519,2487.091509,2487.091509,2487.091509,,2543.268977,2543.268977,2543.268977,2543.268977,2543.268977,2543.268977
2,2003,2518.287443,2463.225009,2463.225009,2463.225009,2463.249956,2463.249956,2463.249956,2463.30323,2463.30323,2463.30323,2463.181307,2463.181307,2463.181307,2463.210232,2463.210232,2463.210232,2463.255077,2463.255077,2463.255077,2463.225009,2463.225009,2463.225009,2463.249956,2463.249956,2463.249956,2463.30323,2463.30323,2463.30323,2463.181612,2463.181612,2463.181612,2463.210232,2463.210232,2463.210232,2463.255077,2463.255077,2463.255077,2463.225009,2463.225009,2463.225009,2463.249956,2463.249956,2463.249956,2463.30323,2463.30323,2463.30323,2463.183715,2463.183715,2463.183715,2463.210232,2463.210232,2463.210232,2463.256635,2463.256635,2463.256635,,2518.287443,2518.287443,2518.287443,2518.287443,2518.287443,2518.287443
3,2003,2518.376273,2463.315325,2463.315325,2463.315325,2463.335141,2463.335141,2463.335141,2463.38408,2463.38408,2463.38408,2463.270571,2463.270571,2463.270571,2463.291264,2463.291264,2463.291264,2463.333254,2463.333254,2463.333254,2463.315325,2463.315325,2463.315325,2463.335141,2463.335141,2463.335141,2463.38408,2463.38408,2463.38408,2463.270571,2463.270571,2463.270571,2463.291264,2463.291264,2463.291264,2463.335285,2463.335285,2463.335285,2463.315325,2463.315325,2463.315325,2463.335141,2463.335141,2463.335141,2463.38408,2463.38408,2463.38408,2463.270571,2463.270571,2463.270571,2463.291264,2463.291264,2463.291264,2463.335285,2463.335285,2463.335285,,2518.376273,2518.376273,2518.376273,2518.376273,2518.376273,2518.376273
4,2003,2517.272995,2462.281744,2462.281744,2462.281744,2462.429637,2462.429637,2462.429637,2462.718774,2462.718774,2462.718774,2462.387661,2462.387661,2462.387661,2462.545129,2462.545129,2462.545129,2462.653292,2462.653292,2462.653292,2462.28726,2462.28726,2462.28726,2462.435635,2462.435635,2462.435635,2462.722784,2462.722784,2462.722784,2462.387661,2462.387661,2462.387661,2462.545129,2462.545129,2462.545129,2462.655362,2462.655362,2462.655362,2462.28726,2462.28726,2462.28726,2462.437141,2462.437141,2462.437141,2462.72429,2462.72429,2462.72429,2462.389731,2462.389731,2462.389731,2462.545129,2462.545129,2462.545129,2462.65735,2462.65735,2462.65735,,2517.272995,2517.272995,2517.272995,2517.272995,2517.272995,2517.272995
5,2003,2537.426115,2481.61814,2481.61814,2481.61814,2481.620507,2481.620507,2481.536559,2481.985221,2481.978396,2481.857242,2481.781236,2481.781236,2481.786355,2481.796997,2481.796997,2481.680963,2482.295299,2482.12466,2482.12466,2481.611236,2481.611236,2481.611236,2481.61956,2481.535947,2481.61956,2481.975299,2481.983831,2481.975299,2481.774333,2481.774333,2481.774333,2481.678473,2481.794508,2481.788018,2482.292202,2482.292202,2482.292202,2481.610901,2481.527623,2481.610901,2481.61956,2481.61956,2481.61956,2481.981342,2481.853362,2481.97281,2481.772184,2481.664345,2481.772184,2481.788111,2481.782656,2481.788111,2482.292202,2482.292202,2482.292202,,2537.511434,2537.511434,2537.511434,2537.511434,2537.511434,2537.511434
6,2003,2534.483733,2479.041548,2479.041548,2479.041548,2479.15062,2479.15062,2479.15062,2479.244049,2479.244049,2479.244049,2478.989226,2478.989226,2478.989226,2479.105183,2479.105183,2479.105183,2479.189582,2479.189582,2479.189582,2479.041548,2479.041548,2479.041548,2479.15062,2479.15062,2479.15062,2479.244049,2479.244049,2479.244049,2478.993969,2478.993969,2478.993969,2479.107126,2479.107126,2479.107126,2479.194325,2479.194325,2479.194325,2479.044242,2479.044242,2479.044242,2479.152562,2479.152562,2479.152562,2479.243191,2479.243191,2479.243191,2478.996248,2478.996248,2478.996248,2479.107126,2479.107126,2479.107126,2479.194325,2479.194325,2479.194325,,2534.483733,2534.483733,2534.483733,2534.483733,2534.483733,2534.483733
7,2003,2536.369847,2480.453038,2480.453038,2480.453038,2480.480503,2480.480503,2480.480503,2480.851234,2480.851234,2480.851234,2480.546997,2480.546997,2480.546997,2480.578526,2480.578526,2480.578526,2481.070443,2481.070443,2481.070443,2480.453612,2480.453612,2480.453612,2480.480503,2480.480503,2480.480503,2480.851234,2480.851234,2480.851234,2480.543957,2480.543957,2480.543957,2480.57875,2480.57875,2480.57875,2481.074507,2481.074507,2481.074507,2480.453612,2480.453612,2480.453612,2480.474342,2480.474342,2480.474342,2480.848338,2480.848338,2480.848338,2480.543957,2480.543957,2480.543957,2480.579325,2480.579325,2480.579325,2481.06857,2481.06857,2481.06857,,2536.369847,2536.369847,2536.369847,2536.369847,2536.369847,2536.369847
8,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2003,2853.912398,2790.555101,2790.555101,2790.555101,2790.573576,2790.573576,2790.573576,2790.61156,2790.61156,2790.61156,2790.526847,2790.526847,2790.526847,2790.539061,2790.539061,2790.539061,2790.557859,2790.557859,2790.557859,2790.555101,2790.555101,2790.555101,2790.573576,2790.573576,2790.573576,2790.610972,2790.610972,2790.610972,2790.526847,2790.526847,2790.526847,2790.539061,2790.539061,2790.539061,2790.562008,2790.562008,2790.562008,2790.561362,2790.561362,2790.561362,2790.575609,2790.575609,2790.575609,2790.610972,2790.610972,2790.610972,2790.52888,2790.52888,2790.52888,2790.539061,2790.539061,2790.539061,2790.562008,2790.562008,2790.562008,,2853.912398,2853.912398,2853.912398,2853.912398,2853.912398,2853.912398
10,2003,2537.664872,2481.951668,2481.951668,2481.951668,2482.086199,2482.086199,2482.086199,2482.34909,2482.34909,2482.34909,2482.137313,2482.137313,2482.137313,2482.277488,2482.277488,2482.277488,2482.691668,2482.691668,2482.691668,2481.951668,2481.951668,2481.951668,2482.086199,2482.086199,2482.086199,2482.33909,2482.33909,2482.33909,2482.137313,2482.137313,2482.137313,2482.271844,2482.271844,2482.271844,2482.687313,2482.687313,2482.687313,2481.951668,2481.951668,2481.951668,2482.086199,2482.086199,2482.086199,2482.33909,2482.33909,2482.33909,2482.132957,2482.132957,2482.132957,2482.267488,2482.267488,2482.267488,2482.691668,2482.691668,2482.691668,,2537.664872,2537.664872,2537.664872,2537.664872,2537.664872,2537.664872
